index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
409,Nebivolol,2등급,,"임부에 대한 안전성 미확립.
베타차단제는 태반환류를 감소시켜 태아 사망과 미숙 및 조숙 분만 초래 가능성.
태아와 신생아에서 저혈당, 서맥 가능성 및 신생아의 심폐합병증 위험성 증가.",,,,,,,,,,,,,,,
410,Nefopam ,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
411,Nemonapride,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 주산기 사망의 증가 보고.",,,,,,,,,,,,,,,
412,Neomycin,2등급,"연고제, 크림제, 점안제, 질좌제 포함",-,,,,,,,,,,,,,,,
413,Netilmicin,2등급,,신생아에 제8뇌신경장애 가능성.,,,,,,,,,,,,,,,
414,Nicardipine,2등급,,"동물실험에서 임신 말기에 고용량 투여시 태자 사망증가, 분만장애, 출생자의 체중감소 및 출생 후 체중증가의 억제 보고.
임신중 고혈압에 투여시 태아에게 해가 되거나 태아 사망까지도 유발 가능성.",,,,,,,,,,,,,,,
415,Nicotine,2등급,"패취제, 껌제, 트로키제, 구강용해필름 포함","용량 비례적으로 태아의 호흡과 순환에 위해성 보고.
동물실험에서 태자의 비특이적 성장지연 및 골격계이상이 야기됨.",,,,,,,,,,,,,,,
416,"Nicotinic acid
=Niacin",2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
417,Nifedipine,2등급,,동물실험에서 기형발생 및 배태자독성 보고.,,,,,,,,,,,,,,,
418,Nilotinib monohydrate,2등급,,동물실험에서 배태자독성 보고.,,,,,,,,,,,,,,,
419,Nilvadipine,2등급,,"다른 칼슘길항제 투여시 동물실험에서 기형발생 보고.
동물실험에서 임신말기 투여시 임신기간 및 분만시기 연장 보고.",,,,,,,,,,,,,,,
420,Nimesulide ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
421,Nimodipine,2등급,,"(주사)
임부에 대한 안전성 미확립.
(경구)
동물실험에서 태아의 성장 저해로 인한 체중감소, 발달지연 및 사망 보고.",,,,,,,,,,,,,,,
422,Nimustine,2등급,,동물실험에서 다지증 등의 기형발생 보고.,,,,,,,,,,,,,,,
423,Nipradilol,2등급,,"동물실험에서 고용량 투여시 태자의 사망률 증가 및 발육억제, 사산자수 증가, 신생자의 생존률 저하 보고.",,,,,,,,,,,,,,,
424,Nisoldipine,2등급,,동물실험에서 태아의 발육억제 및 최기형 작용 보고(유사약물에서).,,,,,,,,,,,,,,,
425,Nitrendipine,2등급,,동물실험에서 기형발생 및 태아치사 작용 보고.,,,,,,,,,,,,,,,
426,Nitroprusside,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
427,Norepinephrine,2등급,,자궁혈관의 수축으로 태아 가사상태 가능성.,,,,,,,,,,,,,,,
428,"Norethisterone(EP)
=Norethindrone(USP)",1등급,,신생여아 외부생식기의 남성화 가능성.,,,,,,,,,,,,,,,
429,Norethisterone+ estradiol,1등급,패취제 포함,"에스트로겐 대체 요법에 의해 남녀 태아의 생식기관의 유전적 결함 증가. 훗날 여성의 경우 질선종, 자궁경부, 편평세포형성장애, 자궁암 위험 증가.
임부에 유방암 발생 증가 가능성.
임신중 여성호르몬제 복용시 선천성 심장기형 및 사지결손증 증가 보고.
동물실험에서 태자의 생식기이상, 기형유발 보고.",,,,,,,,,,,,,,,
430,Norfloxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
431,Nortriptyline,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
432,Ofloxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
433,Olanzapine,2등급,,"임부에 대한 안전성 미확립.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
434,Olmesartan,2등급,,"임신 제2 및 3기에 ACE 저해제 복용시 저혈압, 신생아 두개골발육부전, 무뇨증, 신부전, 양수과소증(사지연축, 두개안면기형, 폐발육부진과 관련) 및 사망 보고.",,,,,,,,,,,,,,,
435,Olopatadine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
436,Olpadronate,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
437,Orphenadrine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
438,Oxaliplatin,2등급,,전임상자료에 따르면 태아에게 치명적이거나 기형 유발 가능성.,,,,,,,,,,,,,,,
439,Oxandrolone,1등급,,여성 태아의 남성화 가능성.,,,,,,,,,,,,,,,
440,Oxaprozin,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소, 동맥관수축 보고.",,,,,,,,,,,,,,,
441,Oxatomide,2등급,,"동물 실험에서 구개열, 합지증, 지골형성부전 등 기형발생 보고.",,,,,,,,,,,,,,,
442,Oxcarbazepine,2등급,,"동물실험에서 태자의 구조적 기형 및 다른 발달학적 독성(태자 사망률 증가, 성장지연) 발생 증가, 신생아 응고 작용 방해 보고.",,,,,,,,,,,,,,,
443,Oxiracetam,2등급,,-,,,,,,,,,,,,,,,
444,Oxymetholone,1등급,,여성 태아의 남성화 가능성.,,,,,,,,,,,,,,,
445,Oxytetracycline,2등급,,"태자에 일과성 골발육부전, 영구적 치아착색, 법랑질형성부전 보고.
동물실험에서 태자독성(주로 골격발달지연과 관련) 및 배자독성 보고.",,,,,,,,,,,,,,,
446,Oxytocin,"1등급
(분만유도/촉진, 불가피한 사유로 인한 인공임신중절 시 제외)",,"서맥, 부정맥, 중추신경계 또는 대뇌의 손상, 사산과 같은 태아에 대한 명확한 위험성 보고.",,,,,,,,,,,,,,,
447,Paclitaxel,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배태자독성 및 수태율 감소 보고.",,,,,,,,,,,,,,,
448,Paliperidone,2등급,,"임부에 대한 안전성 미확립.
임신 3기에 투여시 신생아 추체외로장애, 금단증상의 위험 가능성.
동물실험에서 고용량 투여시 태자사망 증가 보고.",,,,,,,,,,,,,,,
449,Pamidronate,2등급,,"임부에 대한 안전성 미확립.
태아 골격계의 이론상 위험성 존재.",,,,,,,,,,,,,,,
450,Panitumumab,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성, 태자유산 및 사망 보고.",,,,,,,,,,,,,,,
451,Paroxetine,2등급,,"임신초기 3개월 이내 복용시 선천성기형(심실 및 심방중격결손 등) 발생 위험이 다른 항우울제에 비해 2.2배 높음.
임신후기에 SSRIs 복용시 신생아 폐동맥고혈압존속증 위험성이 전체 인구 대비 4~5배 높음.
임신말기 3개월에 SSRIs 복용시 신생아 합병증(호흡곤란, 청색증 등) 보고.",,,,,,,,,,,,,,,
452,Pazopanib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 최기형 작용(심혈관기형, 뼈형성지연 등), 태자 체중감소, 착상 전후 배자치사 및 모체독성(체중감소, 먹이 섭취량 감소, 유산) 보고.",,,,,,,,,,,,,,,
453,Pazufloxacin,2등급,,-,,,,,,,,,,,,,,,
454,Pelubiprofen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 태자독성, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
455,Pemetrexed,2등급,,"임부에 대한 안전성 미확립.
심각한 선천성 결함 및 유전적 손상 유발 가능성.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
456,Pemirolast,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
457,Penbutolol,2등급,,"임부에 대한 안전성 미확립.
신생아에서 서맥, 혈압강하 가능성.",,,,,,,,,,,,,,,
458,Pentazocine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
459,Pentobarbital,2등급,,"신생아에 출혈경향, 호흡억제, 분만전 연용시 금단증상(다동, 진전, 반사항진, 과긴장증 등) 발생 가능성.",,,,,,,,,,,,,,,
460,Pentostatin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 모체독성 및 최기형성(다양한 골격기형) 보고.",,,,,,,,,,,,,,,
461,Peramivir,2등급,,"임부에 대한 안전성 미확립. 
동물실험에서 태반 통과성, 유산 및 조산 증가 보고.",,,,,,,,,,,,,,,
462,Perfluoro-n-butane,2등급,,임부에 대한 안전성 미확립. ,,,,,,,,,,,,,,,
463,Perindopril,2등급,,"임신 제2 및 3기에 ACE저해제 투여시 태아 및 신생아에 저혈압, 두개형성부전, 무뇨, 신부전, 양수과소증으로 인한 태아사지경축, 두개안면변형, 폐발육형성부전 및 사망 가능성.",,,,,,,,,,,,,,,
464,Perphenazine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형발생 보고.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장 항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
465,Pertuzumab,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 나타남.",,,,,,,,,,,,,,,
466,Pethidine,2등급,,"신생아에서 마약금단증상(신경과민, 과도한 움직임, 울음, 불면, 떨림, 발열 등) 가능성.
출산/분만 중 투여시 신생아 호흡억제 유발 가능성.",,,,,,,,,,,,,,,
467,Pheniramine,2등급,,태반 관류 감소 가능성.,,,,,,,,,,,,,,,
468,Phenobarbital,2등급,,"기형아(구순열, 구개열) 발생이 유의하게 높음(역학보고).
신생아에서 출혈경향, 호흡억제, 금단증상(다동, 진전, 반사고진, 과긴장 등) 가능성 및 엽산 저하 보고.",,,,,,,,,,,,,,,
469,Phentolamine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
470,Phenytoin ,2등급,,"역학조사에서 기형아(구순열, 구개열, 심기형) 출산, 태아의 종창(신경아세포증), 히단토인증후군, 신생아 출혈경향 등 보고.",,,,,,,,,,,,,,,
471,Pilsicainide,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
472,Pimozide,2등급,,"임부에 대한 안전성 미확립.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
473,Pinazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
474,Pioglitazone,2등급,,"동물실험에서 과용량 투여시 분만지연 및 배자독성(착상후 손실 증가, 발생지연, 태아 체중감소) 보고.",,,,,,,,,,,,,,,
475,Pipemidic acid,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
476,Piroxicam,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 최기형 작용, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
477,Pitavastatin,1등급,,태아 발육에 필수적인 콜레스테롤의 생합성 감소 가능성.,,,,,,,,,,,,,,,
478,Plerixafor,2등급,,"동물실험에서 기형유발(태자 사망, 사산, 착상후 소실, 태자 체중저하, 무안구증, 단지증, 심실중격결손증, 대동맥궁륜, 구상심장, 수두증, 후두실 비대, 골격계발달지연을 포함한 배태자독성) 보고.",,,,,,,,,,,,,,,
479,Polaprezinc,2등급,,임부에 대한 안전성 미확립. ,,,,,,,,,,,,,,,
480,Porfimer Sodium,2등급,,"동물 연구에 따르면 배태아 독성을 유발할 수 있음. 임신한 랫트와 토끼에서 태자 흡수 증가, 태자수 감소 및 태자 체중 감소가 관찰됨(사람 권장용량의 약 0.64배 정맥투여). 태자 기형은 유발되지 않음. 남성 환자 및 임신가능성이 있는 여성 환자는 치료기간 동안 및 마지막 투여 이후 5개월 까지 효과적인 피임 방법을 사용하는 것이 권고됨.",,,,,,,,,,,,,,,
481,Potassium iodide,2등급,단일제에 한함,태아의 갑상선종 및 갑상선기능이상 유발 가능성.,,,,,,,,,,,,,,,
482,Pralatrexate,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
483,Pramipexole,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 과용량 투여시 태아독성, 착상억제 등 나타남.",,,,,,,,,,,,,,,
484,Pranlukast,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
485,Pranoprofen,2등급,,"임부에 대한 안전성 미확립.
임신말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생 증가, 분만지연, 태자 생존율 감소 보고.",,,,,,,,,,,,,,,
486,Pravastatin,1등급,,태아 발육에 필수적인 콜레스테롤의 생합성 감소 가능성.,,,,,,,,,,,,,,,
487,Prednisolone,2등급,,"동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.",,,,,,,,,,,,,,,
488,Pregabalin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
489,Primaquine,1등급,,"임신 중 이 약의 안전한 사용법이 확립되어 있지 않음. 임부가 글루코오스-6-포스파타아제 결핍증(G-6-PD) 정상인 경우에도 태아는 정상이 아닐 수 있음. 동물 실험 데이터에서 생식 독성이 나타남. 이 약으로 치료한 동물과 세균을 대상으로 한 비임상 데이터에서, 이 약을 임신한 동물에게 투여했을 때 유전자 변이와 염색체/DNA 손상, 기형 발생, 배아 손상 및 태아 손상의 증거가 나타남. 환자는 치료 중 임신을 피해야 하며, 치료 중 그리고 치료 종료 후에도 효과적인 피임법 사용에 대해 권고됨.",,,,,,,,,,,,,,,
490,Primidone,2등급,,"기형아(구순열, 구개열) 출산 및 엽산저하 보고. 신생아에 출혈경향, 흡수억제, 혈액응고장애 및 금단증상(다동, 진전, 반사항진, 과긴장) 가능성.",,,,,,,,,,,,,,,
491,Probucol,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
492,Proglumetacin,2등급,,"임신 말기에 투여시 태아 순환지속증, 태아의 동맥관수축, 동맥관개존증, 신부전, 장천공, 양수과소증 발생 및 신생아에서 괴사성 장염 발생 보고.
동물실험에서 최기형 작용, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
493,Propacetamol,2등급,,"동물실험에서 태자독성 발생.
임신 초기와 중기 투여시 기형 작용 및 태아독성 미확립.",,,,,,,,,,,,,,,
494,Propafenone,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 모체독성용량인 150mg/kg/일(토끼) 및 600mg/kg/일(랫트)을 투여했을 때 배태자 사망 나타남. 토끼는 30mg/kg/일에서 태반무게 증가 및 골화지연 나타남. 랫트는 180mg/kg/일 이상의 용량에서 모체사망 증가, 출생자 생존 감소, 체중증가 감소, 발달지연 나타남.",,,,,,,,,,,,,,,
495,Propranolol,2등급,,"임부에 대한 안전성 미확립.
베타차단제는 태반관류를 감소시켜 자궁내 사산, 유산 초래 가능성. 
태아와 신생아에서 저혈당, 서맥 가능성 및 신생아에서 심폐합병증 위험성 증가.",,,,,,,,,,,,,,,
496,Propylthiouracil,2등급,,"임부에 대한 안전성 미확립.
태아에서 갑상선종, 갑상선기능억제 보고.
신생아에서 간장애 보고 및 갑상선기능저하, 그 후 갑상선기능항진증이 나타날 수 있음.",,,,,,,,,,,,,,,
497,Prucalopride,2등급,,임부에 대한 안전성 미확립. ,,,,,,,,,,,,,,,
498,Prulifloxacin ,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
499,Pyrazinobutazone ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
500,Pyronaridine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
501,Quetiapine,2등급,,"임부에 대한 안전성 미확립.
임신 3기에 투여시 신생아에서 추체외로장애, 금단증상(초조, 근육긴장항진 또는 저하, 진전 등) 보고.",,,,,,,,,,,,,,,
502,Quinapril,2등급,,"임신중 ACE저해제 노출시 영아의 심혈관계 및 중추신경계 기형 위험성 증가 가능성.
미숙아, 저혈압, 신장이상(신부전포함), 두개골형성부진, 양수과소증, 사지경축, 두개안면변형, 폐발육형성부전, 자궁내 성장지연, 동맥관개존증, 태아 사망 및 신생아 사망 보고.",,,,,,,,,,,,,,,
503,Quinidine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
504,Quinupramine,2등급,,"임부에 대한 안전성 미확립.
출산 후 수시간~수일동안 호흡곤란, 수면, 산통, 자극과민, 저.고혈압, 진전, 경축 등의 금단증상 보고.",,,,,,,,,,,,,,,
