Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
typhoid vaccine (killed),B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
"typhoid vaccine (live attenuated, oral)",B2,Vaccines,,,,,,,,,,,,,,,,
umeclidinium bromide,B1,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
umeclidinium bromide / fluticasone furoate / vilanterol trifenatate,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
umeclidinium bromide / vilanterol trifenatate,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
unoprostone isopropyl,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
upadacitinib,D,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
urea [13C],B2,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
urofollitrophin,B2,Endocrine System,Ovulation inducers,Gonadotrophins,,,,,,,,,,,,,,
urokinase,B1,Cardiovascular System,Fibrinolytic agents,,,,,,,,,,,,,,,
ursodeoxycholic acid,B3,Alimentary System,Cholelitholytics,,,,,,,,,,,,,,,
ustekinumab,B1,Allergy and immune system,Immunomodifiers,,,,,,,,,,,,,,,
valaciclovir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
valdecoxib,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
valganciclovir,D,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
valsartan,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
valsartan / hydrochlorothiazide,D,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
valsartan / sacubitril,D,Cardiovascular System,,,,,,,,,,,,,,,,
vancomycin,B2,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
vandetanib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
vardenafil,B3,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
varenicline,B3,Agents used in dependency states,,,,,,,,,,,,,,,,
varicella vaccine,B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
vasopressin,B2,Endocrine System,Antidiuretics,,,,,,,,,,,,,,,
vecuronium,C,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
vedolizumab (rch),B2,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
velaglucerase alfa,B2,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
vemurafenib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
venetoclax,C,Antineoplastic Agents,,,,,,,,,,,,,,,,
venlafaxine,B2,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
verapamil,C,Cardiovascular System,Antihypertensives,Calcium channel blockers,,,,,,,,,,,,,,
verteporfin,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
vigabatrin,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
vildagliptin,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
vildagliptin / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
vinblastine,D,Antineoplastic Agents,Vinca alkaloids,,,,,,,,,,,,,,,
vincristine,D,Antineoplastic Agents,Vinca alkaloids,,,,,,,,,,,,,,,
vindesine,D,Antineoplastic Agents,Vinca alkaloids,,,,,,,,,,,,,,,
vinflunine,D,Antineoplastic Agents,Vinca alkaloids,,,,,,,,,,,,,,,
vinorelbine tartrate,D,Antineoplastic Agents,Vinca alkaloids,,,,,,,,,,,,,,,
vismodegib,X,Antineoplastic Agents,,,,,,,,,,,,,,,,
vitamin A,D,Vitamins,,,,,,,,,,,,,,,,
voretigene neparvovec,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
voriconazole,B3,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
vorinostat,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
warfarin,D,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
ximelagatran,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
yellow fever vaccine (live attenuated),B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
zafirlukast,B1,Respiratory System,,,,,,,,,,,,,,,,
zalcitabine,D,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
zaleplon,C,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
zanamivir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
zidovudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
ziprasidone,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
zoledronic acid,B3,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates,,,,,,,,,,,,,,
zolmitriptan,B3,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
zolpidem tartrate,B3,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
zonisamide,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
zopiclone,C,Central Nervous System,Hypnotics and sedatives,,,,,,,,,,,,,,,
zoster vaccine,B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
zuclopenthixol,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,s
